nombreCliente,emailCliente,ciudad
Cliente1,cliente1@mail.com,Bogota
Cliente2,cliente2@mail.com,Medellin
Cliente3,cliente3@mail.com,Cali
Cliente4,cliente4@mail.com,Barranquilla
Cliente5,cliente5@mail.com,Cartagena
Cliente6,cliente6@mail.com,Bogota
Cliente7,cliente7@mail.com,Medellin
Cliente8,cliente8@mail.com,Cali
Cliente9,cliente9@mail.com,Barranquilla
Cliente10,cliente10@mail.com,Cartagena
Cliente11,cliente11@mail.com,Bogota
Cliente12,cliente12@mail.com,Medellin
Cliente13,cliente13@mail.com,Cali
Cliente14,cliente14@mail.com,Barranquilla
Cliente15,cliente15@mail.com,Cartagena
Cliente16,cliente16@mail.com,Bogota
Cliente17,cliente17@mail.com,Medellin
Cliente18,cliente18@mail.com,Cali
Cliente19,cliente19@mail.com,Barranquilla
Cliente20,cliente20@mail.com,Cartagena
Cliente21,cliente21@mail.com,Bogota
Cliente22,cliente22@mail.com,Medellin
Cliente23,cliente23@mail.com,Cali
Cliente24,cliente24@mail.com,Barranquilla
Cliente25,cliente25@mail.com,Cartagena
Cliente26,cliente26@mail.com,Bogota
Cliente27,cliente27@mail.com,Medellin
Cliente28,cliente28@mail.com,Cali
Cliente29,cliente29@mail.com,Barranquilla
Cliente30,cliente30@mail.com,Cartagena
Cliente31,cliente31@mail.com,Bogota
Cliente32,cliente32@mail.com,Medellin
Cliente33,cliente33@mail.com,Cali
Cliente34,cliente34@mail.com,Barranquilla
Cliente35,cliente35@mail.com,Cartagena
Cliente36,cliente36@mail.com,Bogota
Cliente37,cliente37@mail.com,Medellin
Cliente38,cliente38@mail.com,Cali
Cliente39,cliente39@mail.com,Barranquilla
Cliente40,cliente40@mail.com,Cartagena
Cliente41,cliente41@mail.com,Bogota
Cliente42,cliente42@mail.com,Medellin
Cliente43,cliente43@mail.com,Cali
Cliente44,cliente44@mail.com,Barranquilla
Cliente45,cliente45@mail.com,Cartagena
Cliente46,cliente46@mail.com,Bogota
Cliente47,cliente47@mail.com,Medellin
Cliente48,cliente48@mail.com,Cali
Cliente49,cliente49@mail.com,Barranquilla
Cliente50,cliente50@mail.com,Cartagena
